time_s,p_rads,q_rads,r_rads,H_inertial_mag,T_rot_J,T_drift_rel
0.9850000000,0.0711884962,0.3650333347,0.4489646118,0.0053532904,0.0015505399,-0.1792376130
0.9900000000,0.0707215459,0.3649958223,0.4486568534,0.0053506128,0.0015489922,-0.1800568456
0.9950000000,0.0702552039,0.3649573417,0.4483497715,0.0053479365,0.0015474461,-0.1808752370
1.0000000000,0.0697894702,0.3649178960,0.4480433654,0.0053452617,0.0015459017,-0.1816927882
1.0050000000,0.0693243450,0.3648774883,0.4477376339,0.0053425883,0.0015443588,-0.1825095002
1.0100000000,0.0688598283,0.3648361216,0.4474325763,0.0053399162,0.0015428175,-0.1833253740
1.0150000000,0.0683959201,0.3647937990,0.4471281916,0.0053372456,0.0015412778,-0.1841404108
1.0200000000,0.0679326205,0.3647505233,0.4468244788,0.0053345763,0.0015397396,-0.1849546114
1.0250000000,0.0674699295,0.3647062977,0.4465214371,0.0053319084,0.0015382030,-0.1857679769
1.0300000000,0.0670078472,0.3646611252,0.4462190654,0.0053292419,0.0015366681,-0.1865805084
1.0350000000,0.0665463736,0.3646150087,0.4459173630,0.0053265768,0.0015351346,-0.1873922069
1.0400000000,0.0660855087,0.3645679512,0.4456163287,0.0053239131,0.0015336028,-0.1882030733
1.0450000000,0.0656252526,0.3645199557,0.4453159616,0.0053212508,0.0015320725,-0.1890131087
1.0500000000,0.0651656053,0.3644710252,0.4450162608,0.0053185899,0.0015305438,-0.1898223141
1.0550000000,0.0647065668,0.3644211627,0.4447172254,0.0053159303,0.0015290167,-0.1906306905
1.0600000000,0.0642481371,0.3643703710,0.4444188544,0.0053132721,0.0015274911,-0.1914382390
1.0650000000,0.0637903162,0.3643186532,0.4441211467,0.0053106153,0.0015259671,-0.1922449605
1.0700000000,0.0633331042,0.3642660121,0.4438241015,0.0053079599,0.0015244446,-0.1930508561
1.0750000000,0.0628765009,0.3642124507,0.4435277177,0.0053053059,0.0015229237,-0.1938559267
1.0800000000,0.0624205065,0.3641579720,0.4432319944,0.0053026532,0.0015214044,-0.1946601733
1.0850000000,0.0619651210,0.3641025788,0.4429369307,0.0053000020,0.0015198866,-0.1954635971
1.0900000000,0.0615103442,0.3640462740,0.4426425254,0.0052973521,0.0015183704,-0.1962661988
1.0950000000,0.0610561762,0.3639890606,0.4423487777,0.0052947035,0.0015168557,-0.1970679797
1.1000000000,0.0606026170,0.3639309414,0.4420556865,0.0052920564,0.0015153426,-0.1978689406
1.1050000000,0.0601496665,0.3638719193,0.4417632509,0.0052894106,0.0015138310,-0.1986690825
1.1100000000,0.0596973247,0.3638119973,0.4414714698,0.0052867662,0.0015123209,-0.1994684065
1.1150000000,0.0592455916,0.3637511781,0.4411803423,0.0052841232,0.0015108124,-0.2002669136
1.1200000000,0.0587944671,0.3636894646,0.4408898673,0.0052814815,0.0015093055,-0.2010646046
1.1250000000,0.0583439512,0.3636268596,0.4406000438,0.0052788412,0.0015078001,-0.2018614807
1.1300000000,0.0578940439,0.3635633661,0.4403108709,0.0052762023,0.0015062962,-0.2026575428
1.1350000000,0.0574447451,0.3634989869,0.4400223475,0.0052735648,0.0015047939,-0.2034527919
1.1400000000,0.0569960547,0.3634337247,0.4397344726,0.0052709286,0.0015032930,-0.2042472290
1.1450000000,0.0565479727,0.3633675824,0.4394472452,0.0052682937,0.0015017938,-0.2050408551
1.1500000000,0.0561004990,0.3633005629,0.4391606642,0.0052656603,0.0015002960,-0.2058336711
1.1550000000,0.0556536336,0.3632326689,0.4388747287,0.0052630282,0.0014987998,-0.2066256780
1.1600000000,0.0552073764,0.3631639032,0.4385894375,0.0052603974,0.0014973051,-0.2074168769
1.1650000000,0.0547617273,0.3630942686,0.4383047897,0.0052577680,0.0014958120,-0.2082072686
1.1700000000,0.0543166863,0.3630237679,0.4380207843,0.0052551400,0.0014943203,-0.2089968542
1.1750000000,0.0538722532,0.3629524038,0.4377374201,0.0052525134,0.0014928302,-0.2097856346
1.1800000000,0.0534284279,0.3628801793,0.4374546962,0.0052498881,0.0014913416,-0.2105736109
1.1850000000,0.0529852105,0.3628070969,0.4371726115,0.0052472641,0.0014898545,-0.2113607839
1.1900000000,0.0525426008,0.3627331595,0.4368911650,0.0052446415,0.0014883689,-0.2121471547
1.1950000000,0.0521005987,0.3626583697,0.4366103556,0.0052420203,0.0014868849,-0.2129327242
1.2000000000,0.0516592041,0.3625827304,0.4363301822,0.0052394004,0.0014854023,-0.2137174934
1.2050000000,0.0512184169,0.3625062443,0.4360506439,0.0052367819,0.0014839213,-0.2145014632
1.2100000000,0.0507782369,0.3624289141,0.4357717395,0.0052341647,0.0014824418,-0.2152846346
1.2150000000,0.0503386642,0.3623507424,0.4354934680,0.0052315488,0.0014809638,-0.2160670087
1.2200000000,0.0498996986,0.3622717321,0.4352158283,0.0052289344,0.0014794872,-0.2168485862
1.2250000000,0.0494613399,0.3621918858,0.4349388194,0.0052263212,0.0014780122,-0.2176293683
