time_s,h_m,v_vert_mps,v_horiz_mps,E_total_J,E_drift_rel
9.06000000,2645.37994200,88.87860000,0.00000000,29900.88000000,0.00000000
9.09000000,2642.70916950,89.17290000,0.00000000,29900.88000000,0.00000000
9.12000000,2640.02956800,89.46720000,0.00000000,29900.88000000,0.00000000
9.15000000,2637.34113750,89.76150000,0.00000000,29900.88000000,0.00000000
9.18000000,2634.64387800,90.05580000,0.00000000,29900.88000000,0.00000000
9.21000000,2631.93778950,90.35010000,0.00000000,29900.88000000,0.00000000
9.24000000,2629.22287200,90.64440000,0.00000000,29900.88000000,0.00000000
9.27000000,2626.49912550,90.93870000,0.00000000,29900.88000000,0.00000000
9.30000000,2623.76655000,91.23300000,0.00000000,29900.88000000,0.00000000
9.33000000,2621.02514550,91.52730000,0.00000000,29900.88000000,0.00000000
9.36000000,2618.27491200,91.82160000,0.00000000,29900.88000000,0.00000000
9.39000000,2615.51584950,92.11590000,0.00000000,29900.88000000,0.00000000
9.42000000,2612.74795800,92.41020000,0.00000000,29900.88000000,0.00000000
9.45000000,2609.97123750,92.70450000,0.00000000,29900.88000000,0.00000000
9.48000000,2607.18568800,92.99880000,0.00000000,29900.88000000,0.00000000
9.51000000,2604.39130950,93.29310000,0.00000000,29900.88000000,0.00000000
9.54000000,2601.58810200,93.58740000,0.00000000,29900.88000000,0.00000000
9.57000000,2598.77606550,93.88170000,0.00000000,29900.88000000,0.00000000
9.60000000,2595.95520000,94.17600000,0.00000000,29900.88000000,0.00000000
9.63000000,2593.12550550,94.47030000,0.00000000,29900.88000000,0.00000000
9.66000000,2590.28698200,94.76460000,0.00000000,29900.88000000,0.00000000
9.69000000,2587.43962950,95.05890000,0.00000000,29900.88000000,0.00000000
9.72000000,2584.58344800,95.35320000,0.00000000,29900.88000000,0.00000000
9.75000000,2581.71843750,95.64750000,0.00000000,29900.88000000,0.00000000
9.78000000,2578.84459800,95.94180000,0.00000000,29900.88000000,0.00000000
9.81000000,2575.96192950,96.23610000,0.00000000,29900.88000000,0.00000000
9.84000000,2573.07043200,96.53040000,0.00000000,29900.88000000,0.00000000
9.87000000,2570.17010550,96.82470000,0.00000000,29900.88000000,0.00000000
9.90000000,2567.26095000,97.11900000,0.00000000,29900.88000000,0.00000000
9.93000000,2564.34296550,97.41330000,0.00000000,29900.88000000,0.00000000
9.96000000,2561.41615200,97.70760000,0.00000000,29900.88000000,0.00000000
9.99000000,2558.48050950,98.00190000,0.00000000,29900.88000000,0.00000000
10.02000000,2555.53603800,98.29620000,0.00000000,29900.88000000,0.00000000
10.05000000,2552.58273750,98.59050000,0.00000000,29900.88000000,0.00000000
10.08000000,2549.62060800,98.88480000,0.00000000,29900.88000000,0.00000000
10.11000000,2546.64964950,99.17910000,0.00000000,29900.88000000,0.00000000
10.14000000,2543.66986200,99.47340000,0.00000000,29900.88000000,0.00000000
10.17000000,2540.68124550,99.76770000,0.00000000,29900.88000000,0.00000000
10.20000000,2537.68380000,100.06200000,0.00000000,29900.88000000,0.00000000
10.23000000,2534.67752550,100.35630000,0.00000000,29900.88000000,0.00000000
10.26000000,2531.66242200,100.65060000,0.00000000,29900.88000000,0.00000000
10.29000000,2528.63848950,100.94490000,0.00000000,29900.88000000,0.00000000
10.32000000,2525.60572800,101.23920000,0.00000000,29900.88000000,0.00000000
10.35000000,2522.56413750,101.53350000,0.00000000,29900.88000000,0.00000000
10.38000000,2519.51371800,101.82780000,0.00000000,29900.88000000,0.00000000
10.41000000,2516.45446950,102.12210000,0.00000000,29900.88000000,0.00000000
10.44000000,2513.38639200,102.41640000,0.00000000,29900.88000000,0.00000000
10.47000000,2510.30948550,102.71070000,0.00000000,29900.88000000,0.00000000
10.50000000,2507.22375000,103.00500000,0.00000000,29900.88000000,0.00000000
10.53000000,2504.12918550,103.29930000,0.00000000,29900.88000000,0.00000000
10.56000000,2501.02579200,103.59360000,0.00000000,29900.88000000,0.00000000
10.59000000,2497.91356950,103.88790000,0.00000000,29900.88000000,0.00000000
10.62000000,2494.79251800,104.18220000,0.00000000,29900.88000000,0.00000000
10.65000000,2491.66263750,104.47650000,0.00000000,29900.88000000,0.00000000
10.68000000,2488.52392800,104.77080000,0.00000000,29900.88000000,0.00000000
10.71000000,2485.37638950,105.06510000,0.00000000,29900.88000000,0.00000000
10.74000000,2482.22002200,105.35940000,0.00000000,29900.88000000,0.00000000
10.77000000,2479.05482550,105.65370000,0.00000000,29900.88000000,0.00000000
10.80000000,2475.88080000,105.94800000,0.00000000,29900.88000000,0.00000000
10.83000000,2472.69794550,106.24230000,0.00000000,29900.88000000,0.00000000
10.86000000,2469.50626200,106.53660000,0.00000000,29900.88000000,0.00000000
10.89000000,2466.30574950,106.83090000,0.00000000,29900.88000000,0.00000000
10.92000000,2463.09640800,107.12520000,0.00000000,29900.88000000,0.00000000
10.95000000,2459.87823750,107.41950000,0.00000000,29900.88000000,0.00000000
10.98000000,2456.65123800,107.71380000,0.00000000,29900.88000000,0.00000000
11.01000000,2453.41540950,108.00810000,0.00000000,29900.88000000,0.00000000
11.04000000,2450.17075200,108.30240000,0.00000000,29900.88000000,0.00000000
11.07000000,2446.91726550,108.59670000,0.00000000,29900.88000000,0.00000000
11.10000000,2443.65495000,108.89100000,0.00000000,29900.88000000,0.00000000
11.13000000,2440.38380550,109.18530000,0.00000000,29900.88000000,0.00000000
11.16000000,2437.10383200,109.47960000,0.00000000,29900.88000000,0.00000000
11.19000000,2433.81502950,109.77390000,0.00000000,29900.88000000,0.00000000
11.22000000,2430.51739800,110.06820000,0.00000000,29900.88000000,0.00000000
11.25000000,2427.21093750,110.36250000,0.00000000,29900.88000000,0.00000000
11.28000000,2423.89564800,110.65680000,0.00000000,29900.88000000,0.00000000
11.31000000,2420.57152950,110.95110000,0.00000000,29900.88000000,0.00000000
11.34000000,2417.23858200,111.24540000,0.00000000,29900.88000000,0.00000000
11.37000000,2413.89680550,111.53970000,0.00000000,29900.88000000,0.00000000
11.40000000,2410.54620000,111.83400000,0.00000000,29900.88000000,0.00000000
11.43000000,2407.18676550,112.12830000,0.00000000,29900.88000000,0.00000000
11.46000000,2403.81850200,112.42260000,0.00000000,29900.88000000,0.00000000
11.49000000,2400.44140950,112.71690000,0.00000000,29900.88000000,0.00000000
11.52000000,2397.05548800,113.01120000,0.00000000,29900.88000000,0.00000000
11.55000000,2393.66073750,113.30550000,0.00000000,29900.88000000,0.00000000
11.58000000,2390.25715800,113.59980000,0.00000000,29900.88000000,0.00000000
11.61000000,2386.84474950,113.89410000,0.00000000,29900.88000000,0.00000000
11.64000000,2383.42351200,114.18840000,0.00000000,29900.88000000,0.00000000
11.67000000,2379.99344550,114.48270000,0.00000000,29900.88000000,0.00000000
11.70000000,2376.55455000,114.77700000,0.00000000,29900.88000000,0.00000000
11.73000000,2373.10682550,115.07130000,0.00000000,29900.88000000,0.00000000
11.76000000,2369.65027200,115.36560000,0.00000000,29900.88000000,0.00000000
11.79000000,2366.18488950,115.65990000,0.00000000,29900.88000000,0.00000000
11.82000000,2362.71067800,115.95420000,0.00000000,29900.88000000,0.00000000
11.85000000,2359.22763750,116.24850000,0.00000000,29900.88000000,0.00000000
11.88000000,2355.73576800,116.54280000,0.00000000,29900.88000000,0.00000000
11.91000000,2352.23506950,116.83710000,0.00000000,29900.88000000,0.00000000
11.94000000,2348.72554200,117.13140000,0.00000000,29900.88000000,0.00000000
11.97000000,2345.20718550,117.42570000,0.00000000,29900.88000000,0.00000000
12.00000000,2341.68000000,117.72000000,0.00000000,29900.88000000,0.00000000
12.03000000,2338.14398550,118.01430000,0.00000000,29900.88000000,0.00000000
12.06000000,2334.59914200,118.30860000,0.00000000,29900.88000000,0.00000000
12.09000000,2331.04546950,118.60290000,0.00000000,29900.88000000,0.00000000
12.12000000,2327.48296800,118.89720000,0.00000000,29900.88000000,0.00000000
12.15000000,2323.91163750,119.19150000,0.00000000,29900.88000000,0.00000000
12.18000000,2320.33147800,119.48580000,0.00000000,29900.88000000,0.00000000
12.21000000,2316.74248950,119.78010000,0.00000000,29900.88000000,0.00000000
12.24000000,2313.14467200,120.07440000,0.00000000,29900.88000000,0.00000000
12.27000000,2309.53802550,120.36870000,0.00000000,29900.88000000,0.00000000
12.30000000,2305.92255000,120.66300000,0.00000000,29900.88000000,0.00000000
12.33000000,2302.29824550,120.95730000,0.00000000,29900.88000000,0.00000000
12.36000000,2298.66511200,121.25160000,0.00000000,29900.88000000,0.00000000
12.39000000,2295.02314950,121.54590000,0.00000000,29900.88000000,0.00000000
12.42000000,2291.37235800,121.84020000,0.00000000,29900.88000000,0.00000000
12.45000000,2287.71273750,122.13450000,0.00000000,29900.88000000,0.00000000
12.48000000,2284.04428800,122.42880000,0.00000000,29900.88000000,0.00000000
12.51000000,2280.36700950,122.72310000,0.00000000,29900.88000000,0.00000000
12.54000000,2276.68090200,123.01740000,0.00000000,29900.88000000,0.00000000
12.57000000,2272.98596550,123.31170000,0.00000000,29900.88000000,0.00000000
12.60000000,2269.28220000,123.60600000,0.00000000,29900.88000000,0.00000000
12.63000000,2265.56960550,123.90030000,0.00000000,29900.88000000,0.00000000
