u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,phi_rad,theta_rad,psi_rad,x_e,y_e,z_e
179.0364728343,-0.0000000000,17.3167274489,0.0000000000,-0.0000599368,0.0000000000,0.9985859259,-0.0000000000,0.0531615325,0.0000000000,237.5034204181,0.0000000000,-9002.3712900526
179.0345560304,-0.0000000000,17.3165925371,0.0000000000,-0.0000618468,0.0000000000,0.9985859583,-0.0000000000,0.0531609245,0.0000000000,241.1006626257,0.0000000000,-9002.4070859855
179.0326401540,-0.0000000000,17.3164552119,0.0000000000,-0.0000637653,0.0000000000,0.9985859917,-0.0000000000,0.0531602973,0.0000000000,244.6978664782,0.0000000000,-9002.4428761066
179.0307252121,-0.0000000000,17.3163154737,0.0000000000,-0.0000656909,0.0000000000,0.9985860261,-0.0000000000,0.0531596509,0.0000000000,248.2950319906,0.0000000000,-9002.4786603280
179.0288112115,-0.0000000000,17.3161733277,0.0000000000,-0.0000676222,0.0000000000,0.9985860615,-0.0000000000,0.0531589853,0.0000000000,251.8921591777,0.0000000000,-9002.5144385610
179.0268981583,-0.0000000000,17.3160287842,0.0000000000,-0.0000695578,0.0000000000,0.9985860980,-0.0000000000,0.0531583004,0.0000000000,255.4892480545,0.0000000000,-9002.5502107168
179.0249860584,-0.0000000000,17.3158818580,0.0000000000,-0.0000714963,0.0000000000,0.9985861355,-0.0000000000,0.0531575961,0.0000000000,259.0862986363,0.0000000000,-9002.5859767057
179.0230749171,-0.0000000000,17.3157325687,0.0000000000,-0.0000734365,0.0000000000,0.9985861740,-0.0000000000,0.0531568725,0.0000000000,262.6833109384,0.0000000000,-9002.6217364377
179.0211647393,-0.0000000000,17.3155809400,0.0000000000,-0.0000753770,0.0000000000,0.9985862136,-0.0000000000,0.0531561295,0.0000000000,266.2802849763,0.0000000000,-9002.6574898220
179.0192555296,-0.0000000000,17.3154270004,0.0000000000,-0.0000773165,0.0000000000,0.9985862541,-0.0000000000,0.0531553671,0.0000000000,269.8772207656,0.0000000000,-9002.6932367674
179.0173472922,-0.0000000000,17.3152707821,0.0000000000,-0.0000792538,0.0000000000,0.9985862957,-0.0000000000,0.0531545853,0.0000000000,273.4741183222,0.0000000000,-9002.7289771824
179.0154400306,-0.0000000000,17.3151123217,0.0000000000,-0.0000811877,0.0000000000,0.9985863384,-0.0000000000,0.0531537843,0.0000000000,277.0709776620,0.0000000000,-9002.7647109746
